MARKET_NODE,OP_STAT,MAX LOAD CAP (MW),STORAGE CAPACITY (MWh),TARGET_YEAR,Country,data_version
PL00,Available on market,6110,26992,2035,PL,ERAA 2025 pre-CfE
PT00,Available on market,2500,10000,2035,PT,ERAA 2025 pre-CfE
RO00,Available on market,2000,4000,2035,RO,ERAA 2025 pre-CfE
RS00,Available on market,622.49,1978.56,2035,RS,ERAA 2025 pre-CfE
SE01,Available on market,50,20,2035,SE,ERAA 2025 pre-CfE
SE02,Available on market,50,128,2035,SE,ERAA 2025 pre-CfE
SE03,Available on market,50,1100,2035,SE,ERAA 2025 pre-CfE
SE04,Available on market,50,753,2035,SE,ERAA 2025 pre-CfE
SI00,Available on market,878.0833333,1580.55,2035,SI,ERAA 2025 pre-CfE
SK00,Available on market,799,1723,2035,SK,ERAA 2025 pre-CfE
